pd,pb
5.134456177695150003e-02,2.135058211597954878e-02
6.488030294207396131e-02,3.473199697494423754e-02
8.469177701620282661e-02,5.708824062507937558e-02
5.169334783588378640e-02,1.773734626237929990e-02
8.970793833681890705e-02,6.356130468931948940e-02
1.166952502903285671e-01,8.775229447373571190e-02
2.687926781283743183e-01,3.137853589699817758e-01
9.015261271810136312e-02,5.815083519853934957e-02
8.612927862959665615e-02,5.673838117195365016e-02
1.175963087826733811e-01,9.677148962578577263e-02
4.371002688862670599e-02,9.307470182792036695e-03
8.178150284284385618e-02,5.423136763068428512e-02
2.239191075658715502e-01,2.431402472046931551e-01
1.859244853531505925e-01,1.901659606569524874e-01
2.282889657852424370e-01,2.472518394155719113e-01
1.444097386642254344e-01,1.258943823717360855e-01
1.573924531201126298e-01,1.431570326810273353e-01
2.230493118000375363e-01,2.421306204518317018e-01
1.458066090238886725e-01,1.341158787933981744e-01
1.882004544713229699e-01,1.849593056610124298e-01
2.926285010087568694e-01,3.640029473347317079e-01
2.954420087544140094e-01,3.685064726961925774e-01
3.117320324405739584e-01,3.968643368976944030e-01
2.836923367702717802e-01,3.450742734746736762e-01
2.203423701567402415e-01,2.369278704121541845e-01
1.305060248784493671e-01,1.057230144853818360e-01
1.508766034732203221e-01,1.360863014129544968e-01
1.279404287565259202e-01,1.072609434092237635e-01
2.011365878985440225e-01,2.115860726357177701e-01
1.871705311978280051e-01,1.936474104544289587e-01
1.603455388366111234e-01,1.471387383830872198e-01
2.106188554232250598e-01,2.204726581743426395e-01
1.717383762231963207e-01,1.730627552649611489e-01
1.389583850472823900e-01,1.232328264694409065e-01
1.776997084895892975e-01,1.721861782073775826e-01
1.003228567219089651e-01,7.113527820729391438e-02
1.442957719300327901e-01,1.253177768032860406e-01
4.115657706571035912e-01,6.494659098541004649e-01
4.572441580568170072e-01,7.967320529529882123e-01
4.990023755210165612e-01,9.428199983290818098e-01
4.940299498740560180e-01,9.028057514190479527e-01
5.039041038725521338e-01,9.394628204943092920e-01
4.759329151349390163e-01,8.361862979949847841e-01
4.635138730326355816e-01,7.963733164841293455e-01
4.979835115108957044e-01,9.470237073512484116e-01
4.789366930351133256e-01,8.402076377425424791e-01
3.980109549657196988e-01,6.047634910550619969e-01
1.553668908872844201e-01,1.497086711401322545e-01
2.247154462546815945e-01,2.421906745888158796e-01
1.619070132041429966e-01,1.533264761538769005e-01
2.607601582610038493e-01,3.007776124566954867e-01
2.820036468077031788e-01,3.391084460297824066e-01
2.103432328771275284e-01,2.203967177967321167e-01
6.881305681160350407e-02,3.766769508366267505e-02
8.689996496559036776e-02,5.723854334613426992e-02
8.374017903726088674e-02,5.539893196676715093e-02
1.443167329115297159e-01,1.290771589925435447e-01
2.426504794800016518e-01,2.662185715865933999e-01
2.328264087592563925e-01,2.559708197857000211e-01
1.397851006073027591e-01,1.221000868235979780e-01
1.008086768971900166e-01,7.606235764508981201e-02
5.561402776702616124e-02,2.613410554249547338e-02
9.095071552868591591e-02,6.349635669753495026e-02
3.129118600175530285e-02,3.451858604381061180e-03
7.600760958803180756e-02,4.672708496260190303e-02
9.395489368979084710e-02,6.631557097303819592e-02
1.072846968887486152e-01,7.937887805456217416e-02
6.133839313142028238e-02,3.406973947013454407e-02
5.479655685087508887e-02,1.988788285519365456e-02
8.735829007135177682e-02,5.822891584600277393e-02
1.330894364509596639e-01,1.171531590970602277e-01
5.841580761432181579e-02,2.716959954791702339e-02
1.218249714003767081e-01,9.834699912356910378e-02
1.446919194949272125e-01,1.274020290731212035e-01
2.503335788096592296e-01,2.939618751593262025e-01
2.173234648477426756e-01,2.274744460085510456e-01
3.166860096420466841e-01,4.038955384047017705e-01
2.183793841081068110e-01,2.302276517152198332e-01
8.459967272530363736e-02,5.848627895806634419e-02
2.204955992960979383e-01,2.485463653651295846e-01
1.413872940884474405e-01,1.299722551515174740e-01
1.510562669315468343e-01,1.325724206508271941e-01
6.980077741060665419e-02,3.741709553381631498e-02
1.090916808508218677e-01,8.943979825742034984e-02
5.031966081300724702e-02,1.584921042704439537e-02
1.056596036341985734e-01,7.865990643083056733e-02
3.118042404389118616e-01,4.002101883061424115e-01
