pd,pb
3.713319328865696822e-01,5.202961813196057550e-01
3.078995242402142729e-01,3.941446051582362942e-01
3.049254124486632800e-01,3.787007009959793002e-01
3.035580232216941177e-01,3.805533292205648954e-01
2.166182928088221382e-01,2.311527808152490926e-01
1.113722598550663523e-01,1.031852712235793029e-01
1.715468308445126377e-01,1.646994778550967542e-01
8.908490966316566506e-02,5.790464446752439931e-02
9.202131355387707656e-02,6.365033873109417206e-02
4.899161489110053641e-02,1.621943404626750504e-02
1.247600520338071617e-01,1.013002909039622257e-01
1.886400666551500682e-01,1.885138947635152662e-01
1.879589339437153228e-01,1.905518657504193525e-01
1.787968341802345373e-01,1.815271690420104667e-01
2.865714144295946064e-01,3.562912114614878445e-01
3.789043061675306800e-01,5.542134330184307345e-01
4.177188906036505833e-01,6.564557936710347930e-01
3.520003627946410862e-01,4.861170365155517148e-01
3.822338903514713171e-01,5.548395963400818420e-01
2.857392126927614795e-01,3.490769175532881796e-01
3.484491015967673411e-01,4.745358860626420761e-01
3.381932856788327779e-01,4.586035159791231886e-01
2.513237858013838699e-01,3.093701743202923460e-01
2.538137350982428986e-01,2.892462090712955014e-01
3.545480182374833311e-01,4.992727870116663857e-01
2.945111655874034784e-01,3.657448898869357090e-01
2.213122900799340265e-01,2.377015899741826421e-01
1.531498547609397576e-01,1.434081896565232717e-01
1.276171102677861602e-01,1.031045998956265364e-01
7.295240788344485583e-02,4.166063032160161050e-02
4.040373684952872774e-02,9.742494118435808884e-03
1.108339200259780694e-01,8.523811804452996466e-02
6.384270446641737706e-02,3.396141936053780758e-02
5.265827846130022999e-02,1.850161914280364084e-02
4.128629027037324095e-02,7.510364855155708674e-03
6.615587100972203372e-02,3.500707226661989996e-02
2.203115611292512099e-01,2.338165093822987539e-01
1.827341798804139328e-01,1.834549146477626180e-01
6.192232668926472838e-02,3.100552716246612189e-02
4.284857144176150434e-02,1.337458958870773457e-02
5.913614938894430628e-02,2.895069343689435359e-02
2.325421301341947800e-01,2.566886449827640027e-01
1.899672553167721656e-01,1.854869842841184169e-01
1.498517683535617595e-01,1.366820078601614363e-01
1.369409209794221760e-01,1.165513950410302785e-01
6.324697509028530396e-02,3.612821946982548021e-02
8.032083236778306268e-02,5.425618355666678161e-02
1.331589741820096706e-01,1.177953941659927867e-01
1.858971934059978071e-01,1.773339061181954113e-01
1.559397060875682972e-01,1.497116143297606838e-01
2.695620009453426613e-01,3.178431456370335861e-01
2.939069379143527394e-01,3.589829168687779237e-01
2.845891354167038312e-01,3.578733999656012466e-01
2.490652306793442461e-01,2.851863949442738355e-01
2.917447043042695753e-01,3.606602089681287260e-01
3.445665225582289493e-01,4.764584635564972914e-01
3.732601629045321778e-01,5.332267435872543038e-01
2.942495447350517712e-01,3.762706291355340515e-01
3.371793670606534343e-01,4.534902560806371996e-01
4.028059501278499765e-01,6.105700212239406621e-01
3.919750627505184104e-01,5.943577615485637899e-01
4.426173767027777317e-01,7.225780250079505418e-01
4.683838199282076009e-01,8.234108443035311753e-01
4.954239575348869384e-01,9.119671311668842151e-01
5.159550366050478232e-01,9.863092766506891262e-01
5.068911166201818252e-01,9.552085805559976661e-01
5.129757738753774055e-01,9.755337024009049784e-01
5.129757738753774055e-01,9.755337024009049784e-01
4.952849922250601167e-01,9.004128103355170110e-01
4.358541340453541135e-01,7.105165579903539586e-01
4.401256350235898118e-01,7.165753121627144173e-01
3.911452937135771468e-01,5.781912356152763000e-01
3.814932848065095694e-01,5.645549228632787964e-01
3.740314954980790696e-01,5.355108385394418136e-01
4.018474620044702461e-01,6.043889861834894628e-01
3.901476018249064870e-01,5.775833839485335908e-01
3.140308703073564356e-01,3.986291800397541718e-01
2.825896699411437063e-01,3.320900395483606937e-01
2.875739566554165183e-01,3.614617550978840299e-01
3.055135961829870128e-01,3.856692521172545018e-01
2.402669518949273331e-01,2.764398121177459311e-01
1.441932862836062812e-01,1.309360108850932680e-01
1.857744289308128627e-01,1.939808861790072170e-01
1.879900377943315437e-01,1.989443451082481273e-01
3.634694133832244156e-01,5.200784870651701253e-01
3.744192576238762893e-01,5.336216521623683429e-01
4.175806493774980033e-01,6.875215653426707263e-01
4.368577427672191704e-01,7.215539949026176236e-01
4.462578843689094521e-01,7.610783212355959337e-01
4.899617157972562254e-01,8.794087890729891388e-01
5.069603840260873406e-01,9.499052413494454283e-01
4.736401019610577690e-01,8.237622693420598718e-01
4.774490317872692180e-01,8.304796134718457346e-01
4.634026937704157634e-01,7.907466472832909155e-01
4.506546093641662365e-01,7.444455808858804202e-01
3.896670362030285606e-01,5.700008054740381969e-01
3.927495727650487933e-01,5.775609689038903038e-01
3.614727175110946100e-01,5.087870687453961427e-01
3.085400245578810985e-01,3.850835879286161334e-01
1.960951082547411073e-01,2.097672255143471498e-01
2.586555573372999461e-01,2.971254271000962621e-01
2.469664734342179868e-01,2.785835641122224038e-01
2.568627303186524213e-01,3.023412275427447282e-01
2.670100614435347852e-01,3.169535515834971950e-01
1.724356190074035344e-01,1.662521205562179638e-01
1.499506955869443492e-01,1.346741001566042484e-01
1.566994325719772430e-01,1.457984130019783775e-01
1.789599276116072279e-01,1.681715812293689827e-01
1.125035110789911613e-01,9.629745662980697396e-02
9.161113164586608126e-02,5.978587767623502747e-02
2.392163153780626217e-01,2.670424882913288722e-01
1.620638563891395600e-01,1.569843861765892745e-01
1.997249283382496188e-01,2.153870920248075471e-01
2.282182862545733826e-01,2.475423728987770355e-01
2.188463203502853671e-01,2.329456954860454621e-01
2.439691572908838924e-01,2.671778805605708462e-01
3.002201251403837645e-01,3.764267034320839533e-01
3.186974106167191345e-01,4.230730993405748541e-01
4.001119480541747708e-01,6.175217470625841143e-01
2.779093983827128356e-01,3.323958453238454736e-01
4.070795760208105740e-01,6.486562640197360841e-01
4.356139126575267473e-01,7.060340094055603810e-01
4.017118229918871797e-01,6.082552788421595746e-01
4.244905500182528102e-01,6.663175385585033972e-01
3.681935522994501109e-01,5.261077598649739340e-01
4.077578925361631801e-01,6.252298787811406688e-01
4.009912920226932909e-01,6.036655752206414594e-01
3.532923039793380293e-01,4.962444089396957914e-01
3.759662443693813638e-01,5.386337358532425901e-01
3.882812986012407208e-01,5.662487302329043404e-01
3.904877670673070345e-01,5.752784880993471184e-01
3.745467856018809272e-01,5.367169263565523263e-01
3.758830795123204171e-01,5.407156791960692210e-01
3.734387136117875428e-01,5.373930342690026452e-01
3.650272197225891135e-01,5.106783067550376698e-01
3.697039785167229864e-01,5.223360485399394237e-01
2.509531618264306818e-01,2.968726927414375716e-01
8.399601135059320267e-02,6.658488612307539301e-02
1.861816724834767511e-01,1.955673121145266868e-01
7.595523249626486006e-02,4.522487289574114028e-02
5.152790249040437032e-02,1.920026318349841304e-02
4.948054475124991081e-02,1.674241576021973099e-02
4.532700244700696435e-02,1.409052951398619309e-02
4.532700244700696435e-02,1.409052951398619309e-02
9.407969051611583811e-02,6.365891139089696615e-02
1.933612651218778455e-01,1.916476777736291492e-01
2.878574616241060258e-01,3.508101590567099248e-01
3.098118628686088449e-01,3.971341320249682783e-01
3.203491023993333964e-01,4.131060269585797862e-01
