pd,pb
4.752808389883753093e-01,9.999925260744397804e-01
4.752808389883753093e-01,9.999925260744397804e-01
4.752808389883753093e-01,9.999925260744397804e-01
4.752808389883753093e-01,9.999925260744397804e-01
4.752909413881723499e-01,9.998518811620892288e-01
4.752909413881723499e-01,9.998518811620892288e-01
4.752909413881723499e-01,9.998518811620892288e-01
4.752909413881723499e-01,9.998518811620892288e-01
4.752909413881723499e-01,9.998518811620892288e-01
4.752909413881723499e-01,9.998518811620892288e-01
4.752909413881723499e-01,9.998518811620892288e-01
4.752909413881723499e-01,9.998518811620892288e-01
4.752909413881723499e-01,9.998518811620892288e-01
4.752909413881723499e-01,9.998518811620892288e-01
4.752909413881723499e-01,9.998518811620892288e-01
4.752909413881723499e-01,9.998518811620892288e-01
4.752909413881723499e-01,9.998518811620892288e-01
4.752909413881723499e-01,9.998518811620892288e-01
4.752909413881723499e-01,9.998518811620892288e-01
4.752909413881723499e-01,9.998518811620892288e-01
4.752909413881723499e-01,9.998518811620892288e-01
4.752383645337593943e-01,9.997895170848964952e-01
4.749599372257531371e-01,9.999978309684095512e-01
4.749599372257531371e-01,9.999978309684095512e-01
4.749599372257531371e-01,9.999978309684095512e-01
4.749599372257531371e-01,9.999978309684095512e-01
4.749599372257531371e-01,9.999978309684095512e-01
4.749599372257531371e-01,9.999978309684095512e-01
4.748598160275084301e-01,9.996699737709079381e-01
4.748598160275084301e-01,9.996699737709079381e-01
4.748598160275084301e-01,9.996699737709079381e-01
4.748598160275084301e-01,9.996699737709079381e-01
4.748598160275084301e-01,9.996699737709079381e-01
4.748598160275084301e-01,9.996699737709079381e-01
4.748598160275084301e-01,9.996699737709079381e-01
4.750079437856645770e-01,9.990739250178883868e-01
4.750079437856645770e-01,9.990739250178883868e-01
4.750079437856645770e-01,9.990739250178883868e-01
4.750079437856645770e-01,9.990739250178883868e-01
4.750079437856645770e-01,9.990739250178883868e-01
4.750079437856645770e-01,9.990739250178883868e-01
4.750079437856645770e-01,9.990739250178883868e-01
4.750079437856645770e-01,9.990739250178883868e-01
4.753431042757340075e-01,9.995747446165023087e-01
4.753543022652536032e-01,9.996470728943365192e-01
4.753543022652536032e-01,9.996470728943365192e-01
4.753543022652536032e-01,9.996470728943365192e-01
4.753543022652536032e-01,9.996470728943365192e-01
4.750085424950555302e-01,9.993215170918563484e-01
4.749846918379276861e-01,9.998375941069532757e-01
4.749846918379276861e-01,9.998375941069532757e-01
4.749846918379276861e-01,9.998375941069532757e-01
4.749846918379276861e-01,9.998375941069532757e-01
4.749846918379276861e-01,9.998375941069532757e-01
4.749846918379276861e-01,9.998375941069532757e-01
4.749846918379276861e-01,9.998375941069532757e-01
4.749846918379276861e-01,9.998375941069532757e-01
4.749846918379276861e-01,9.998375941069532757e-01
4.749846918379276861e-01,9.998375941069532757e-01
4.749846918379276861e-01,9.998375941069532757e-01
4.749846918379276861e-01,9.998375941069532757e-01
4.749846918379276861e-01,9.998375941069532757e-01
4.749846918379276861e-01,9.998375941069532757e-01
4.749846918379276861e-01,9.998375941069532757e-01
4.749846918379276861e-01,9.998375941069532757e-01
4.749846918379276861e-01,9.998375941069532757e-01
4.749846918379276861e-01,9.998375941069532757e-01
4.749846918379276861e-01,9.998375941069532757e-01
4.749846918379276861e-01,9.998375941069532757e-01
4.749846918379276861e-01,9.998375941069532757e-01
4.749846918379276861e-01,9.998375941069532757e-01
4.749846918379276861e-01,9.998375941069532757e-01
4.749846918379276861e-01,9.998375941069532757e-01
4.749846918379276861e-01,9.998375941069532757e-01
4.749846918379276861e-01,9.998375941069532757e-01
4.749846918379276861e-01,9.998375941069532757e-01
4.749846918379276861e-01,9.998375941069532757e-01
4.749846918379276861e-01,9.998375941069532757e-01
4.749846918379276861e-01,9.998375941069532757e-01
4.749846918379276861e-01,9.998375941069532757e-01
4.749846918379276861e-01,9.998375941069532757e-01
4.749846918379276861e-01,9.998375941069532757e-01
4.751192349592336939e-01,9.994837754411999287e-01
4.751192349592336939e-01,9.994837754411999287e-01
4.751192349592336939e-01,9.994837754411999287e-01
4.751192349592336939e-01,9.994837754411999287e-01
4.751192349592336939e-01,9.994837754411999287e-01
4.751192349592336939e-01,9.994837754411999287e-01
4.751192349592336939e-01,9.994837754411999287e-01
4.751192349592336939e-01,9.994837754411999287e-01
4.751192349592336939e-01,9.994837754411999287e-01
4.751192349592336939e-01,9.994837754411999287e-01
4.751192349592336939e-01,9.994837754411999287e-01
4.751192349592336939e-01,9.994837754411999287e-01
4.751192349592336939e-01,9.994837754411999287e-01
4.751192349592336939e-01,9.994837754411999287e-01
4.751192349592336939e-01,9.994837754411999287e-01
4.751192349592336939e-01,9.994837754411999287e-01
4.751192349592336939e-01,9.994837754411999287e-01
4.751192349592336939e-01,9.994837754411999287e-01
4.751192349592336939e-01,9.994837754411999287e-01
4.749769784953380425e-01,9.997653025816375383e-01
4.749769784953380425e-01,9.997653025816375383e-01
4.749769784953380425e-01,9.997653025816375383e-01
4.749769784953380425e-01,9.997653025816375383e-01
4.749769784953380425e-01,9.997653025816375383e-01
